"","user.self","sys.self","elapsed","user.child","sys.child"
"time_out_CT",0.799999999999997,0.32,9.98999999999069,NA,NA
"time_out_SA",0.270000000000003,0.220000000000001,6.34000000008382,NA,NA
"time_out_GM",0.270000000000003,0.17,4.27000000001863,NA,NA
"time_between_error_CT",1.58,0.510000000000002,79.3299999998417,NA,NA
"time_between_error_SA",0.599999999999994,0.209999999999997,82.3000000000466,NA,NA
"time_between_error_GM",0.579999999999998,0.18,55.7199999999721,NA,NA
"time_sites_LRTs_CT",1.61999999999999,0.859999999999999,2386.5,NA,NA
"time_sites_LRTs_SA",1.28,0.880000000000001,3541.5,NA,NA
"time_sites_LRTs_GM",0.5,0.34,1561.1399999999,NA,NA
"time_scanners_LRTs_CT",0.420000000000002,0.16,63.1100000001024,NA,NA
"time_between_error_CT_scanner",0.120000000000005,0.100000000000001,11.8899999998976,NA,NA
"time_sites_LRTs_CT_Philips",1.42999999999999,0.449999999999999,54.9699999999721,NA,NA
"time_sites_LRTs_CT_GE",0.159999999999997,0.109999999999999,129.209999999963,NA,NA
"time_sites_LRTs_CT_Siemens",4.60000000000001,1.97,1108.63000000012,NA,NA
"time_scanners_LRTs_SA",0.420000000000002,0.390000000000001,79.9200000001583,NA,NA
"time_between_error_SA_scanner",0.230000000000004,0.0299999999999976,13.1599999999162,NA,NA
"time_sites_LRTs_SA_Philips",0.720000000000013,0.34,79.2100000001956,NA,NA
"time_sites_LRTs_SA_GE",0.0900000000000034,0.0600000000000023,205.969999999972,NA,NA
"time_sites_LRTs_SA_Siemens",0.280000000000001,0.199999999999999,1337.93000000017,NA,NA
