"","label","timeest","eest","ICC","ICC_lower95CI","ICC_higher95CI","ICC2","ICC2_lower95CI","ICC2_higher95CI","delta_CFI"
"1","lh_frontal",0.00602612412104362,0.00178074177867488,0.771900555030785,0.758098368393389,0.786095243643612,0.871269367390673,0.859778667156544,0.879658662322099,-1.99840144432528e-15
"2","lh_insula",0.0116009754111858,0.00765025412664576,0.602609583371708,0.58398262959673,0.62250750997617,0.752041187428379,0.737265395190265,0.764960121006471,0.00774282368039014
"3","lh_occipital",0.00896446438464232,0.00168622672680345,0.841679125874625,0.833325581238316,0.850838594408206,0.914034863740514,0.907502946295204,0.91942756141666,0.000681603258083974
"4","lh_parietal",0.00589442954627812,0.00152073399394825,0.794915650113656,0.781625660680991,0.810316045544847,0.885743941082509,0.877192456070637,0.893545676320054,0.00182647569977046
"5","lh_temporal",0.00893104464298446,0.00366626323274203,0.708964544733682,0.691378271232719,0.727980502279534,0.829707799667874,0.818397151459179,0.839948468384765,-2.55351295663786e-15
"6","rh_frontal",0.00563130296772456,0.00172007846447578,0.766019695707594,0.748725602469185,0.77663524100454,0.867510962957566,0.860190397979674,0.874683869172872,-3.99680288865056e-15
"7","rh_insula",0.0126982378663541,0.00818961604022455,0.607924486792526,0.590995609201739,0.624535727797886,0.756161605789744,0.741593843650822,0.770107274512222,0.00629274701803006
"8","rh_occipital",0.00954165253351189,0.0017434156780571,0.845511285765218,0.83630384888866,0.853388303171493,0.916289777490996,0.912341339469375,0.919894995620596,0.00111006598875441
"9","rh_parietal",0.0054617254990101,0.00146195857307417,0.788846724106222,0.778022522892911,0.799104954429426,0.881964182220794,0.873476731220664,0.889972555552781,0.00034825242648473
"10","rh_temporal",0.00915224189656575,0.00375737739908283,0.708947466766171,0.692356411327071,0.726615763650646,0.829695257949611,0.81706287540105,0.840673927835993,-3.77475828372553e-15
